customer_id,customer_name,email,phone,complaint_type,complaint_text,created_at,status,priority
13af79e5-4f50-49da-b2a2-d1e2fbecf3d1-9cbd-4de8-9a5e-f85f9fa1c64d, Sheena Reed,droberson@example.com,001-776-732-1246x900,Slow speed,Run happy thing single indicate fish. Let particularly lose sister effort writer.,5/23/2025 9:40,In Progress,Critical
 da68f124-867c-402e-add3-c4ce779ebd9c,Stephanie Hart,sanchezevelyn@example.com,322-540-6204,Customer support delay,Run morning hit city physical however. Fight worry budget brother.,6/5/2025 5:45,In Progress,Critical
 e4df8136-0e11-4896-a532-efb0947fae76,Deanna Robinson,james47@example.com,431.788.5784x3298,Wrong charges,House paper book. Debate cause television. Response personal serve compare.,3/9/2025 20:19,Closed,Low
189f95aa-73a6-4650-aa25-d82ff033ed7c,Allen Scott Jr.,zstone@example.net,897-753-9968x4005,Billing issue,Care that hundred quickly mention eye industry. Nice such western contain them.,6/21/2025 17:53,Open,High
8bc3d671-11fb-4295-8fe9-49646af1e8b1,Sherri Griffin,boltonjoseph@example.com,718-366-5914,Service downtime,Human develop matter adult require stay sit. Subject personal ten people clear law coach. Administration someone watch politics heavy school.,5/15/2025 3:05,Closed,Critical
fc92dd20-f33a-46fb-991c-09ea58f6a992,Haley Clay,lidylan@example.com,3959630987,Wrong charges,Season newspaper notice market. What project range research other. Much popular owner our day age. Black box reach think subject serve.,2/6/2025 19:30,Closed,Critical
7fb1d52e-eee3-4b16-9995-5c6f6810b182,Kenneth Fleming,laurahayes@example.com,+1-630-788-6427x69284,Disconnection issue,Lawyer statement tax world news candidate can through. Consider state rule picture amount bank send.,3/20/2025 1:18,Resolved,Medium
5362eab9-b441-48f9-b2eb-6f5887001893,Michael Peterson Jr.,jeffrey76@example.net,(230)691-0241,Connection drops,Long response magazine develop address respond great. Organization leave down bit example. Continue believe low and see.,6/10/2025 1:21,Closed,High
d035cff7-fec2-4d59-8f70-0266292b1b4b,Kelly Vega,barbarabrady@example.net,(206)507-7138,Service downtime,Media between reason first help hand. Item adult down chance blood son significant. Case nation box try trouble his. Lawyer expect base sit for participant.,6/24/2025 9:26,In Progress,Low
707f697c-a409-4d11-a1a5-29ee056b1a01,Robert Barajas,petersjames@example.net,6849149970,Disconnection issue,Carry by citizen see also. Interview money whom. Clearly itself be coach carry music month.,1/10/2025 1:17,Resolved,Medium
3c02f791-958b-4053-83cd-25b67bc8e5ce,Kendra Avila,aaron34@example.org,981.596.6892x122,Wrong charges,North wife why child. Threat baby glass number nearly push.,3/3/2025 12:42,Closed,High
0f672f4b-e816-4984-b331-6da4dc73e93d,Jeremy Madden,belinda97@example.org,(305)845-1545x9032,Internet not working,Raise executive field listen. Future push shake check ahead end approach better. Size pretty force true.,2/12/2025 5:53,In Progress,Critical
f677ab63-760e-49aa-be36-6ae54059fa81,Nicole Campbell,diane03@example.org,+1-265-596-7486x3790,Router problem,Range fund agreement effect put particularly even. Expert Mr control. Event weight method process item guess fly top. Seat Congress form ahead coach environment trial.,5/1/2025 11:16,Open,Low
201a8ae9-b85c-42fc-bca1-17cdb03cde2b,Thomas Dean,garrettmartinez@example.com,901.838.6995,Installation pending,As education plan. Alone gun region part. Agent care pull during kitchen.,6/4/2025 20:50,In Progress,Medium
a62016ed-a528-45b3-b670-c81d00aa03fd,Carlos Barker,patriciagarcia@example.org,-4087,Connection drops,Site five prove truth subject list computer. With question send behavior truth maybe. Money water various yeah budget green black.,4/5/2025 16:35,In Progress,Low
190ce33a-1aa3-4140-99b2-1a6cb3407bb7,James Riley,grimesscott@example.net,-9412,Customer support delay,Listen hit one. Dinner newspaper station stock skin.,6/20/2025 2:19,Open,High
5d6f5bff-7980-4126-bea4-8090cc07528c,Jacqueline Franklin MD,gonzalezpeggy@example.com,814-539-9934x250,Customer support delay,One language particularly result spring. Everything already reduce them each admit. Sure bag view. Rich line certain heavy.,2/11/2025 14:41,Resolved,Low
dd749b9f-f894-42fc-b11f-4e69a5d2fa44,Gary Potter,meganmitchell@example.com,001-807-645-3211x2360,Installation pending,Someone arm task interesting north him everybody identify. Network agent road nothing get position about. That particularly others paper paper blood wear remain.,4/4/2025 3:28,Open,Medium
470c23b6-6f82-4b2c-9f30-e2e4c374dd7a,Danny Foster,bburnett@example.net,935.715.7233x682,Disconnection issue,Seek administration produce. Thought according discover. Push down short away money ready great. House bit fly what.,4/11/2025 16:19,Open,High
94b69155-b09d-4464-954d-1b9715fe550f,Kimberly Myers,jrussell@example.net,+1-340-252-8135x7386,Disconnection issue,Local plan nation begin region building. Where thousand third table.,3/16/2025 6:50,In Progress,High
cab80261-3770-47b3-aaa5-6b0c6cd148d4,Veronica Cantrell,frogers@example.org,408.588.4691x633,Router problem,Child role article. Toward nothing indicate score room fight. Center course note no talk.,1/19/2025 13:16,In Progress,Low
f279b54a-f81d-41b5-909d-db0a6708f5d0,Susan Zavala,bakerjohn@example.com,-1173,Connection drops,Success whole option push. Woman baby house entire. Seat analysis hour campaign.,1/14/2025 14:34,Open,Critical
375af509-f12a-4ebb-9b1a-a77aafe79964,Jacob Sanchez,dneal@example.net,(691)740-8310x806,Slow speed,Recognize serve style least. Those serve art often director level degree. New north production single tell medical.,1/13/2025 3:37,Closed,High
f176f497-e173-4329-852b-5adb4b8d496a,Hannah Burnett,hchapman@example.com,+1-237-655-8377x28987,Connection drops,Hope capital road chair cut maintain difficult. Heavy which place since first kid politics common. Medical painting meet so physical.,5/1/2025 17:06,Open,Medium
3db191ef-b1f5-41c3-b090-a64db9684200,Tanya Park,jared90@example.net,2715455676,Connection drops,Structure evidence fact whether.,5/20/2025 12:41,Open,Low
93a4de19-80ad-45d5-88ff-785e868fa58b,Andrew Brown,jeanettemassey@example.com,436-850-8098,Slow speed,Everyone food use. Four service institution take information. Onto ever head opportunity concern see sell.,4/6/2025 5:45,In Progress,Critical
1229e355-0d16-43b5-a303-c760a0ee6cba,Dennis Mclaughlin,andrewaustin@example.net,001-979-434-9144x6877,Router problem,Increase town upon student. View take great successful. Against leg also day citizen stop from. Try say year very not day.,6/2/2025 2:27,In Progress,High
09fc258b-41a5-404e-8676-cdcf4fadc15d,George Martinez,smithmegan@example.org,+1-920-986-4855x67366,Wrong charges,Tell difficult analysis out. Speech rest seem year place offer. Man what step organization act run realize turn.,2/17/2025 13:13,Open,Low
6f87ed49-443f-4360-b31a-6dab20c1afbe,Alex Arnold,karladeleon@example.org,(449)787-8427,Connection drops,Write drive indicate half. In whose already effect be perhaps sister.,1/4/2025 18:48,Resolved,High
c22f4b6f-b324-41d3-ba2a-5a28b8a7614e,Jamie Turner,raydylan@example.org,-3261,Disconnection issue,Reduce agency week fight look whether. Left question well.,5/4/2025 21:06,Resolved,High
aa7d5805-5400-4b8f-bfdf-ff07286d8e14,Vincent Peterson,mmartinez@example.com,324.377.8533x78728,Customer support delay,Street for fish better class chair true feeling. Four success while modern boy.,4/9/2025 5:44,In Progress,Medium
36f0d110-4b20-493c-9b6e-ac77eb3f401d,Rebecca Rangel,dalesnyder@example.net,+1-887-592-4873x1267,Billing issue,Few answer until send level research. Employee establish future participant decide left term. Game minute provide.,4/15/2025 11:31,Closed,Critical
c6a13ad0-e9a5-4db7-ae3a-4e5d99d4c11d,Russell Lee,shelly90@example.com,001-627-981-1485x409,Router problem,Guy move expert decade because. It sport national. Street market team yeah modern security easy star.,3/6/2025 5:27,In Progress,High
c8f8fab3-ba70-4141-a33e-ece50333b452,Robert Mccormick Jr.,freemanmonica@example.org,001-477-307-9330x287,Customer support delay,Mr hot take citizen seek. Big news wall yet especially serve somebody. Sort question animal increase on.,6/22/2025 12:44,Open,High
415e4d2e-b436-4825-9079-791a01aef0fd,Samantha Mason,katherine27@example.net,2255672298,Installation pending,Democrat piece dark recent why stand population. Management next too minute.,4/27/2025 18:09,Closed,Critical
80c93136-c85e-4eb3-bd25-3a550e34c471,Gilbert Hickman,rachaelgardner@example.com,(906)613-8660x15825,Installation pending,Director than seem computer travel great during. On compare now stay rate.,3/22/2025 14:02,Resolved,High
77dfa2ce-8857-4211-80e0-8b9668ece485,Lisa Clark,tinamoon@example.com,864-596-9796,Connection drops,Reach try control cut ask gun. Reveal six join maybe value camera fill.,1/11/2025 0:56,Resolved,High
82509272-73d3-4c56-9e51-d3618397af3d,Sharon Hickman,joshuataylor@example.net,6909353792,Disconnection issue,Hot contain none. Thousand important size.,1/15/2025 18:52,Open,Critical
52b32522-bdcd-4097-8729-ecc35e6883e6,Tiffany Nguyen,xcarroll@example.org,491-928-1814x475,Wrong charges,Tell fact prove. Final include subject cell management.,4/11/2025 15:32,Resolved,Medium
e1744468-6201-4e4d-8a1a-af9d8a16a2bc,Isabel York MD,carlmcdowell@example.org,(631)647-6581x722,Router problem,Assume indeed such actually perform. Role morning paper late view future.,6/11/2025 17:14,Resolved,High
6162ef2d-2256-4cfe-9301-a58d5722755b,Robert Mays,kobrien@example.net,(851)364-6986x0355,Internet not working,Benefit something result. Suggest five industry age. Free remember million happy second significant seat. We gun management affect letter group billion.,1/18/2025 22:28,Resolved,Critical
d1ce7e64-2b77-4dea-b9d7-de67a3b3b19a,Jordan Osborne,jeffrey49@example.com,(986)642-6016,Internet not working,To stuff born oil suddenly. Indeed listen still yet. Little sort wonder executive because hair although.,2/12/2025 20:24,In Progress,Critical
35a64da0-2123-4e12-ba6f-66f3855e0e5f,Michael Butler,william58@example.com,001-960-908-8516x06571,Customer support delay,Manage success character after continue. Talk field group very next share. Develop during program social sit reveal grow.,4/28/2025 22:26,Resolved,Low
2709a263-4eee-434b-b61b-6a16e12a582b,John Snyder,jessicamcdonald@example.org,+1-906-756-5207x273,Billing issue,Enter drop most action social. Future civil decision.,6/17/2025 23:45,Closed,Low
80c55b9e-f66a-4e86-b3e2-12c5207059de,Amy May,katherine31@example.org,+1-697-788-9687x3351,Internet not working,Direction mention detail big. Them its would hotel my important. Bill themselves race teach.,4/9/2025 1:36,In Progress,High
7b6d26eb-e4a4-42b4-b3d7-ca4788168b80,Brian Booker,justin28@example.com,312-427-8788x465,Connection drops,Beyond cost eat hair game manage. President south difficult go news mother main.,1/14/2025 13:42,In Progress,Critical
244e6de6-9f84-48ff-a2c2-023076e721a0,Wanda Lopez,victorbaker@example.net,8145952837,Customer support delay,Rich dog food eight military religious. Officer themselves cover power. Security treat dinner anything step anything yet.,3/10/2025 9:30,Resolved,Medium
a0ee32f5-df7c-4716-88e6-ecb116246d1b,Traci Jacobson,iriley@example.net,001-475-920-9105x47569,Billing issue,Call Congress attack make. Leave behind and.,2/23/2025 14:14,Closed,Critical
c31a68c7-0730-4780-97fa-0d7009af03d5,Ralph Carter,jackgomez@example.com,+1-821-736-0169x981,Connection drops,Week floor might case. Despite gun remain every shoulder value respond.,4/18/2025 3:23,Open,Medium
9b3ec78e-29a5-4868-9658-3ead896c23a0,Chad Hobbs,markgarcia@example.net,827.308.5226x41075,Slow speed,Meeting give rise individual imagine data herself. Talk industry probably day. Book instead trade majority.,6/26/2025 20:22,Resolved,Medium
0cc32347-9f68-494a-84c3-712127ad53b6,Jennifer Ingram,evelynanderson@example.org,459-504-4745,Installation pending,Participant may especially.,2/4/2025 19:00,Closed,Medium
